Number,E-Word,S-Word,Val-Mn-All,Val-Sd-All,Aro-Mn-All,Aro-Sd-All,Dom-Mn-All,Dom-Sd-All,Nlett,Nsyll ,GClass,Freq ,Neigh,Fam ,Con ,Imag 
647,bake,hornear,5.47,1.53,4.71,1.78,5.54,1.89,7,3,V,0,1,UnAv,UnAv,UnAv
776,hairpin,horquilla,5.11,1.54,4.21,1.76,5.71,1.96,9,3,N,1.61,0,UnAv,UnAv,UnAv
213,horror,horror,1.68,1.24,6.89,2.26,2.81,2.03,6,2,N,29.82,0,4.35,3.95,4.54
215,hospital,hospital,2.07,1.43,5.49,2.32,3.46,2.13,8,3,N,45.71,0,6.21,6.61,6.45
217,hostile,hostil,2.20,1.84,5.97,2.17,3.96,2.01,6,2,N,10.54,2,UnAv,UnAv,UnAv
795,hotel,hotel,6.39,1.56,5.49,2.10,5.54,1.79,5,2,N,64.29,1,6.33,6.31,5.62
736,egg,huevo,5.01,1.68,3.94,1.93,5.31,2.31,5,2,N,20.36,5,6.54,5.5,6.24
796,humane,humano,6.67,2.00,5.49,2.05,5.17,2.27,6,3,A,134.11,3,5.86,5.05,6.11
219,humble,humilde,6.59,2.17,4.16,2.23,5.64,2.32,7,3,A,15.36,0,UnAv,UnAv,UnAv
797,humiliate,humillar,1.68,1.41,6.42,2.51,3.68,2.39,8,3,V,1.25,0,UnAv,UnAv,UnAv
220,humor,humor,7.70,1.57,6.90,1.98,5.47,2.05,5,2,N,41.07,2,6.14,3.04,4.16
798,hurricane,huracán,2.28,1.54,7.16,1.95,2.63,2.06,7,3,N,3.75,1,4.06,5.64,5.32
800,idea,idea,7.36,1.50,6.62,2.13,6.46,2.05,4,3,N,195.71,1,6.71,3.57,3.72
801,identity,identidad,6.20,2.01,5.04,2.07,6.01,1.99,9,4,N,63.57,0,5.65,3.78,2.75
223,idiot,idiota,2.56,1.52,5.11,2.34,4.73,2.18,6,3,A/N,12.68,1,6.29,4.12,3.55
802,idol,ídolo,6.29,2.16,5.80,1.87,4.86,2.01,5,3,N,6.43,1,UnAv,UnAv,UnAv
71,church,iglesia,3.77,2.30,4.31,2.24,4.78,2.17,7,3,N,107.86,0,4.67,5.5,5.81
803,ignorance,ignorancia,2.00,1.21,5.18,2.44,4.51,2.48,10,4,N,20.71,0,6.55,3.24,3.01
805,imagine,imaginar,7.58,1.64,6.33,2.19,6.29,2.58,8,4,V,41.25,0,5.57,3.22,4.23
113,detached,imparcial,4.68,2.05,4.83,2.07,4.84,1.95,9,3,A,1.79,0,UnAv,UnAv,UnAv
224,impotent,impotente,1.98,1.33,5.58,2.44,2.82,2.05,9,4,A,7.5,1,5.79,4.17,3.86
225,impressed,impresionado,6.09,1.63,6.69,1.74,4.20,2.06,12,5,A/V,0,0,UnAv,UnAv,UnAv
809,incentive,incentivo,7.39,1.57,6.71,1.76,5.66,2.03,9,4,N,1.43,1,UnAv,UnAv,UnAv
726,discomfort,incomodidad,2.16,1.45,6.57,1.77,4.33,2.12,11,5,N,4.11,0,5.11,3.35,4.1
908,nuisance,incordio,2.29,1.40,5.83,2.24,4.26,2.03,8,3,N,0.71,1,UnAv,UnAv,UnAv
206,helpless,indefenso,1.89,1.35,5.71,2.33,2.83,2.10,9,4,A,5,1,UnAv,UnAv,UnAv
810,indifferent,indiferente,3.98,1.93,4.72,1.94,4.90,1.94,11,5,A,12.68,0,UnAv,UnAv,UnAv
227,industry,industria,4.21,1.72,4.83,2.04,4.47,1.90,9,3,N,45.54,0,5.65,5.05,UnAv
228,infection,infección,1.69,0.93,6.47,2.01,2.94,2.01,9,4,N,15.36,1,5.2,5,4.45
463,unhappy,infeliz,1.43,0.98,4.73,2.72,3.27,2.19,7,3,A/N,7.32,0,4.23,4.02,4.79
812,inferior,inferior,2.50,1.70,4.86,2.14,4.01,2.40,8,3,A/N,35.71,1,UnAv,UnAv,UnAv
462,unfaithful,infiel,1.70,1.05,6.81,1.95,4.13,2.50,6,2,A/N,3.04,0,UnAv,UnAv,UnAv
788,hell,infierno,2.47,2.17,5.40,2.63,3.46,2.27,8,3,N,30,1,6.01,4.15,4.69
1035,wit,ingenio,7.34,1.58,6.28,1.90,5.70,2.21,7,3,N,17.68,1,4.41,3.29,2.86
806,immature,inmaduro,3.18,1.66,5.10,1.72,4.67,1.85,8,4,A/N,1.43,1,UnAv,UnAv,UnAv
807,immoral,inmoral,2.86,1.73,5.91,1.51,4.76,1.80,7,3,A,2.5,0,UnAv,UnAv,UnAv
814,innocent,inocente,6.31,2.06,4.39,2.13,5.14,2.29,8,4,A/N,18.04,0,6.08,3.83,3.85
455,troubled,inquieto,4.47,1.73,6.83,1.64,4.23,1.85,8,3,A,8.93,1,UnAv,UnAv,UnAv
816,insect,insecto,3.24,1.72,5.57,2.10,4.13,2.34,7,3,N,5.54,2,5.9,4.76,6.02
