	0	1
316	-76.445786	24.714447
317	-66.89168	22.24076
318	-66.00944	23.908321
319	-63.579296	26.91752
320	-61.557358	24.287144
321	-73.29229	31.19044
322	-82.0295	17.556013
323	-79.80379	35.71046
324	-82.250916	34.528
325	-85.89162	27.386368
326	-87.17541	25.467712
327	-77.255135	21.984716
328	-76.21505	21.710852
329	-70.12104	20.920578
330	-69.456085	22.856148
331	-66.527794	24.981354
332	-65.86348	28.084938
333	-64.53514	29.924505
334	-69.614204	35.439804
335	-73.52465	37.03941
336	-75.46936	37.334698
337	-80.88392	37.01506
338	-83.04146	32.904404
339	-82.664505	30.222042
340	-78.05656	27.812864
341	-77.0255	25.837757
342	-69.51677	20.925453
343	-68.86532	22.115246
344	-65.793175	24.55589
345	-62.78776	24.772194
346	-63.497227	28.777624
347	-70.58125	33.703457
348	-71.65088	32.793156
349	-78.60822	35.311115
350	-81.6398	34.917175
351	-86.38667	28.312508
352	-86.168816	29.740562
353	-81.99616	25.591091
354	-81.783226	25.680275
355	-80.14513	23.357677
356	-71.67075	14.943038
357	-68.59287	7.406864
358	-68.38292	7.765671
359	-78.16518	4.961323
360	-66.74977	16.716572
361	-65.40867	15.627858
362	-63.568462	17.816454
363	-61.82873	14.022114
364	-65.184875	9.823418
365	-63.637882	-3.235592
366	-64.762886	7.1007423
367	-61.569466	-3.9399247
368	-63.3313	5.2739825
369	-59.547028	-1.8121797
370	-51.527966	7.849357
371	-49.604603	2.1823683
372	-49.906887	7.1546097
373	-49.084164	2.4046607
374	-48.88932	2.0028644
375	-48.779762	2.359633
376	-20.035025	4.286493
377	-17.8146	6.383845
378	-21.694836	13.717139
379	-21.890574	13.294885
380	-22.454264	9.698974
381	-17.01346	1.7493554
382	-7.3302827	3.5668092
383	-7.0723386	3.479724
384	-4.9784627	4.3114557
385	3.891943	8.84636
386	4.0419526	8.680775
387	4.117407	8.415592
388	5.086005	7.097672
389	9.345829	9.601868
390	9.580901	9.636363
391	15.448345	12.796269
392	15.688169	12.937363
393	18.339016	13.779824
394	25.708939	13.387945
395	47.311077	-2.217669
396	47.790745	-1.9192929
397	50.764366	-2.8469305
398	51.2904	-3.2210615
399	69.585396	-14.165624
400	69.46438	-14.146516
